What is your age?,What is your gender?,Current job status?,What is your major/job function?,Actively seeking for job?,Have you taken online courses?,"If not taken any online course, why?","If not taken any online course, how likely will you take online courses in the future?",How important would you rate programming as a necessary skill for jobs?,How much are you willing to spend for an online programming course that can potentially benefit your future career?,Will you be more willing to try out the course if given a coupon or free trial?,Is there any feature that you would like to have at online course platforms?,Have you heard of Springboard?,"Taking a look at the course structure below, which program are you more likely to choose?",Reason? (Or any of the criteria that caught your eye),To what scale do you believe you are able to acquire the skill to find a better job through this choice?
23,,Undergraduate,Biochemistry ,No,Yes,,,3,"$500 ~ 1,000",Free trial for a limited time,Discussion session ,Yes,Springboard Skill Track,"Budget, ",3
23,,Undergraduate,,,No,no interest,3,3,"$500 ~ 1,000",Coupon,professional,No,Master's Program,,3
20,Female,Undergraduate,EECS,No,No,hard to learn from and all the classes i want to take are available live,2,4,"$500 ~ 1,000",my major teaches me programming sufficiently so i would pay $0 for an online course in it and therefore this question is irrelevant,no,No,Self-guided Online Courses,it's the cheapest,1
22,Female,Undergraduate,Economics ,Yes,Yes,,4,3,"$500 ~ 1,000",Free trial for a limited time,More interaction,No,Springboard Skill Track,,4
18,Female,Undergraduate,Bioengineering,Yes,Yes,,4,4,"$1,000 ~ 3,000",Free trial for a limited time,No,No,Springboard Skill Track,Flexible schedule with many other features for a reasonable price,2
18,Female,Undergraduate,Civil Engineering,Yes,Yes,,,2,"$500 ~ 1,000",Coupon,"Progression and Advancement status, hints or guided explanations",No,Springboard Skill Track,"Curriculum, Resources, and Costs",4
23,Male,Graduate,IEOR,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,to be certified after completing an online course,No,Springboard Skill Track,"time commitment, project-based learning",3
23,Female,Employed,Math instructor,Yes,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,Replay. Subtitle,No,Springboard Career Track,Everything I need,4
19,Female,Undergraduate,Legal Studies,No,No,,5,2,"$500 ~ 1,000",Free trial for a limited time,No,No,Bootcamp,,3
19,Female,Undergraduate,Statistics and linguistics,No,No,Less learning online,1,3,"$500 ~ 1,000",Free trial for a limited time,I would not use this,No,Self-guided Online Courses,$0,1
19,Female,Undergraduate,engineering,No,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,harder questions,No,Self-guided Online Courses,it is the cheapest,4
19,Male,Undergraduate,Economics/Business,For part time job,Yes,Because it was so easy sitting in a class would waste my time,,3,"$500 ~ 1,000",Free trial for a limited time,Get some sort of certification that means something to the real world or an employer,No,Springboard Career Track,Job guarantee,4
20,Male,Undergraduate,Sociology and minor in public policy ,Yes,No,I like one on one courses because of the experience ,3,3,"$1,000 ~ 3,000",Free trial for a limited time,Coding ,No,Self-guided Online Courses,Price,4
22,Female,Graduate,ieor,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,Online test / video explanation,No,Self-guided Online Courses,Cheap,4
23,Female,Graduate,CS,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,Provide some exercise project,No,Master's Program,,3
23,Female,Graduate,electrical engineering,Yes,Yes,,,4,"$500 ~ 1,000",Free trial for a limited time,video,No,Master's Program,,4
23,Male,Graduate,BioE,Yes,Yes,,,3,"$1,000 ~ 3,000",Free trial for a limited time,It’d be nice if I have access to it on different ends,No,Bootcamp,I’d like to improve myself in a short period,4
24,Female,Graduate,MSE,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,various information，easy operation,No,Springboard Career Track,,3
,,Graduate,,,No,,,4,"$1,000 ~ 3,000",Free trial for a limited time,na,No,Master's Program,,4
22,Male,Graduate,Computer Science,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,Have related course website and github,No,Springboard Skill Track,Price,3
22,Female,Graduate,Materials,Yes,Yes,,,5,"$500 ~ 1,000",Free trial for a limited time,Reference,No,Springboard Career Track,,3
22,Female,Graduate,Data Science,Yes,Yes,,,5,"$500 ~ 1,000",Coupon,personal assistant,No,Springboard Career Track,job guarantee,4
